Ticker,Name,Sector,Industry,Country
KBX.DE,Knorr-Bremse,Consumer Cyclical,Auto Parts,Germany
ALC.SW,Alcon,Healthcare,Medical Instruments & Supplies,Switzerland
SRAIL.SW,Stadler Rail,Industrials,Railroads,Switzerland
NEXI,Nexi,Healthcare,Biotechnology,United States
PRX.AS,Prosus,Consumer Cyclical,Internet Retail,Netherlands
EQT.ST,EQT AB,Financial Services,Asset Management,Sweden
SWON.SW,Softwareone,Technology,Software - Application,Switzerland
M,M&G,Consumer Cyclical,Department Stores,United States
0A5I.L,Jde Peets,,,Netherlands
GB00BMTV7393.SG,THG Holdings,N/A,N/A,N/A
0P00008VU4.SW,Allegro,N/A,N/A,N/A
